metric_id,publisher,source_title,source_url,source_release_date,access_date,observation_period,geography,geography_definition,count_unit,power_boundary,development_stage,commercial_commitment_status,unit,estimate_or_observation,transformation,limitations
dcm_us_country_total,Data Center Map,USA Data Centers - 4767 Facilities from 1900 Operators,https://www.datacentermap.com/usa/,continuous daily update,2026-08-21,2026-08-21,United States,50 U.S. states,unique facilities,not applicable,mixed lifecycle stages,not disclosed,unique facilities,directory snapshot,none,"Not an official census; primarily colocation and cloud; enterprise and government coverage is limited; lifecycle stages are indicative; one campus may be counted as one facility when building count is unknown."
dcm_ca_country_total,Data Center Map,Canada Data Centers - 292 Facilities from 241 Operators,https://www.datacentermap.com/canada/,continuous daily update,2026-08-21,2026-08-21,Canada,39 source-defined markets,unique facilities,not applicable,mixed lifecycle stages,not disclosed,unique facilities,directory snapshot,none,"Not an official census; primarily colocation and cloud; enterprise and government coverage is limited; lifecycle stages are indicative; market boundaries are source-defined."
dcm_us_state_counts,Data Center Map,USA Data Centers - state table,https://www.datacentermap.com/usa/,continuous daily update,2026-08-21,2026-08-21,United States,state labels in source table,unique facilities,not applicable,mixed lifecycle stages,not disclosed,unique facilities,directory snapshot,top ten values copied from source country table,"Directory values may change daily; mixed lifecycle stages; incomplete and potentially stale records; not comparable to official site or building counts."
dcm_ca_market_counts,Data Center Map,Canada Data Centers - market table,https://www.datacentermap.com/canada/,continuous daily update,2026-08-21,2026-08-21,Canada,source-defined metro markets,unique facilities,not applicable,mixed lifecycle stages,not disclosed,unique facilities,directory snapshot,top eight values copied from source country table,"Directory values may change daily; mixed lifecycle stages; market pages can be updated asynchronously; country summary snapshot is used consistently."
iea_na_facility_capacity,International Energy Agency,Energy and AI data product,https://www.iea.org/data-and-statistics/data-product/energy-and-ai,2025-04-10,2026-08-21,2024,North America,IEA model region,not applicable,facility-side installed capacity,installed stock,not applicable,GW,model estimate,none,"Rounded regional model estimate; includes a facility-side boundary and should not be added to IT capacity; North America includes more than the United States and Canada."
iea_na_it_capacity,International Energy Agency,Energy and AI data product,https://www.iea.org/data-and-statistics/data-product/energy-and-ai,2025-04-10,2026-08-21,2024,North America,IEA model region,not applicable,IT installed capacity,installed stock,not applicable,GW,model estimate,none,"Rounded regional model estimate; IT boundary excludes facility overhead; North America includes more than the United States and Canada."
iea_us_facility_capacity,International Energy Agency,Energy and AI data product,https://www.iea.org/data-and-statistics/data-product/energy-and-ai,2025-04-10,2026-08-21,2024,United States,United States,not applicable,facility-side installed capacity,installed stock,not applicable,GW,model estimate,none,"Rounded national model estimate; should not be subtracted from North America to infer Canada because both values are rounded and the region is broader."
iea_us_it_capacity,International Energy Agency,Energy and AI data product,https://www.iea.org/data-and-statistics/data-product/energy-and-ai,2025-04-10,2026-08-21,2024,United States,United States,not applicable,IT installed capacity,installed stock,not applicable,GW,model estimate,none,"Rounded national model estimate; IT boundary excludes facility overhead; not a measured utility load."
cw_americas_operational,Cushman & Wakefield,Americas Data Center Update H2 2025,https://www.cushmanwakefield.com/en/insights/americas-data-center-update,2026-02-24,2026-08-21,H2 2025,Americas,source region includes United States Canada and Latin America,not applicable,source-reported capacity; boundary not disclosed,operational,not applicable,GW,commercial market estimate,none,"Americas is not North America; coverage and power boundary are source-defined; do not combine with IEA facility-side or IT capacity."
cw_americas_under_construction,Cushman & Wakefield,Americas Data Center Update H2 2025,https://www.cushmanwakefield.com/en/insights/americas-data-center-update,2026-02-24,2026-08-21,H2 2025,Americas,source region includes United States Canada and Latin America,not applicable,source-reported capacity; boundary not disclosed,under construction,nearly 89 percent pre-committed at regional level,GW,commercial market estimate,none,"Americas is not North America; status is under construction rather than operational; power boundary is not disclosed on the summary page."
cw_virginia_under_construction,Cushman & Wakefield,Americas Data Center Market Shifts to Managed Growth,https://www.cushmanwakefield.com/en/united-states/news/2026/02/americas-data-center-market-shifts-to-managed-growth,2026-02-26,2026-08-21,H2 2025,Virginia,source market definition for Virginia,not applicable,source-reported capacity; boundary not disclosed,under construction,not disclosed for market,GW,commercial market estimate,none,"Market subtotal within the Americas pipeline; do not add to regional total as a separate category; power boundary not disclosed."
cw_west_texas_under_construction,Cushman & Wakefield,Americas Data Center Market Shifts to Managed Growth,https://www.cushmanwakefield.com/en/united-states/news/2026/02/americas-data-center-market-shifts-to-managed-growth,2026-02-26,2026-08-21,H2 2025,West Texas,source-defined West Texas market,not applicable,source-reported capacity; boundary not disclosed,under construction,not disclosed for market,GW,commercial market estimate,none,"Market subtotal within the Americas pipeline; West Texas boundary is source-defined; power boundary not disclosed."
lbnl_us_2014,Lawrence Berkeley National Laboratory,2024 United States Data Center Energy Usage Report,https://energyanalysis.lbl.gov/publications/2024-lbnl-data-center-energy-usage-report,2024-12,2026-08-21,2014,United States,national model boundary,not applicable,facility electricity use,operational stock,not applicable,TWh,modelled historical estimate,none,"Historical estimate from the 2024 report; uncertainty is not encoded in this simplified chart row."
lbnl_us_2023,Lawrence Berkeley National Laboratory,2024 United States Data Center Energy Usage Report,https://energyanalysis.lbl.gov/publications/2024-lbnl-data-center-energy-usage-report,2024-12,2026-08-21,2023,United States,national model boundary,not applicable,facility electricity use,operational stock,not applicable,TWh,modelled historical estimate,none,"Latest historical estimate used by the update; 176 TWh equals 4.4 percent of total U.S. electricity in the source."
lbnl_us_2030_reference,Lawrence Berkeley National Laboratory,United States Data Center Energy Usage Report: 2025 Update,https://bies.lbl.gov/publications/united-states-data-center-energy-2025,2026-06,2026-08-21,2030,United States,national bottom-up model,not applicable,facility electricity consumption,forecast stock,not applicable,TWh,forecast,reference 649 with compounded uncertainty lower 521 and upper 843,"Forecast depends on IT-equipment shipments device energy use cooling performance facility types and locations; bounds are compounded uncertainty scenarios not a statistical confidence interval."
jlarc_va_sites,Virginia Joint Legislative Audit and Review Commission,Data Centers in Virginia,https://jlarc.virginia.gov/pdfs/reports/Rpt598-2.pdf,2024-12,2026-08-21,2024,Virginia,statewide administrative and utility evidence,sites,not applicable,operational,not applicable,sites,source estimate,rounded source value,"Approximately 150 sites; a site can contain multiple buildings; not comparable to Data Center Map unique facilities."
jlarc_va_buildings,Virginia Joint Legislative Audit and Review Commission,Data Centers in Virginia,https://jlarc.virginia.gov/pdfs/reports/Rpt598-2.pdf,2024-12,2026-08-21,2024,Virginia,statewide administrative and utility evidence,buildings,not applicable,operational,not applicable,buildings,source estimate,rounded source value,"Around 340 buildings; building count is a different physical unit from sites and directory facilities."
jlarc_va_power,Virginia Joint Legislative Audit and Review Commission,Data Centers in Virginia,https://jlarc.virginia.gov/pdfs/reports/Rpt598-2.pdf,2024-12,2026-08-21,2024 peak-load forecast,Virginia,Dominion Energy and named electric cooperatives,not applicable,estimated operational power requirement,operational,not applicable,MW,estimate,based on August 2023 utility peak-load forecasts,"Approximately 5050 MW; estimated requirement is not metered annual energy and should not be compared directly with GW market capacity without boundary review."
eia_ercot_load_growth,U.S. Energy Information Administration,Fossil generation could rise with faster-than-expected growth in data center power demand,https://www.eia.gov/todayinenergy/detail.php?id=67344,2026-03-12,2026-08-21,2025-2027,ERCOT,grid region covering most of Texas,not applicable,net energy for load,forecast,not applicable,percent,forecast,average annual load growth reported by EIA,"Not data-center-only load growth; also reflects industrial and other demand; based on February 2026 STEO."
eia_pjm_load_growth,U.S. Energy Information Administration,Fossil generation could rise with faster-than-expected growth in data center power demand,https://www.eia.gov/todayinenergy/detail.php?id=67344,2026-03-12,2026-08-21,2025-2027,PJM,grid region across parts or all of 13 states and Washington DC,not applicable,net energy for load,forecast,not applicable,percent,forecast,average annual load growth reported by EIA,"Not data-center-only load growth; also reflects industrial and other demand; based on February 2026 STEO."
ieso_on_dc_low,Independent Electricity System Operator,2026 Annual Planning Outlook: Demand Forecast Module,https://www.ieso.ca/-/media/Files/IESO/Document-Library/planning-forecasts/apo/2026/2026-APO-Demand-Forecast-Module.pdf,2026-03,2026-08-21,2027 and 2050,Ontario,Ontario net annual electricity demand,not applicable,commercial data center subsector net annual energy demand,forecast,projects with completed System Impact Assessment emphasized,TWh,forecast,low-demand scenario rows transcribed,"Scenario assumes slower growth and cautious investment; values are planning forecasts not committed consumption."
ieso_on_dc_reference,Independent Electricity System Operator,2026 Annual Planning Outlook: Demand Forecast Module,https://www.ieso.ca/-/media/Files/IESO/Document-Library/planning-forecasts/apo/2026/2026-APO-Demand-Forecast-Module.pdf,2026-03,2026-08-21,2027 and 2050,Ontario,Ontario net annual electricity demand,not applicable,commercial data center subsector net annual energy demand,forecast,project materialization adjusted by IESO,TWh,forecast,reference scenario rows transcribed,"Planning reference scenario; depends on project timing connection assessments and economic conditions."
ieso_on_dc_high,Independent Electricity System Operator,2026 Annual Planning Outlook: Demand Forecast Module,https://www.ieso.ca/-/media/Files/IESO/Document-Library/planning-forecasts/apo/2026/2026-APO-Demand-Forecast-Module.pdf,2026-03,2026-08-21,2027 and 2050,Ontario,Ontario net annual electricity demand,not applicable,commercial data center subsector net annual energy demand,forecast,higher project materialization likelihood,TWh,forecast,high-demand scenario rows transcribed,"High-demand planning scenario; not a probability bound; assumes stronger economic growth and investment confidence."
statcan_ca_generation_total,Statistics Canada,Electricity year in review 2025,https://www.statcan.gc.ca/o1/en/plus/9117-electricity-generation-combustibles-and-renewables-sharply-increase-amid-another-dry-year,2026-03-31,2026-08-21,2025,Canada,national electricity generation,not applicable,gross generation by all reported sources,operational,not applicable,TWh,observation,625.2 million MWh converted one-to-one to TWh,"Electricity-system context only; it does not describe the electricity mix consumed by data centers."
statcan_ca_hydro_generation,Statistics Canada,Electricity year in review 2025,https://www.statcan.gc.ca/o1/en/plus/9117-electricity-generation-combustibles-and-renewables-sharply-increase-amid-another-dry-year,2026-03-31,2026-08-21,2025,Canada,national electricity generation,not applicable,hydroelectric generation,operational,not applicable,TWh,observation,343.4 million MWh converted one-to-one to TWh,"Hydroelectric generation was affected by persistent drought; national mix is not a facility-specific procurement mix."
statcan_ca_hydro_share,Statistics Canada,Electricity year in review 2025,https://www.statcan.gc.ca/o1/en/plus/9117-electricity-generation-combustibles-and-renewables-sharply-increase-amid-another-dry-year,2026-03-31,2026-08-21,2025,Canada,national electricity generation,not applicable,hydroelectric share of total generation,operational,not applicable,percent,observation,source-reported rounded share,"Share is rounded; notebook independently checks 343.4 divided by 625.2; this is national generation not data-center carbon-free energy."
