candidate_rank,site_id,site_name,record_role,candidate_type,candidate_confidence,latitude,longitude,location_precision,location_confidence,primary_weight,weighted_weight,strict_weight,weight_basis,cell_id,cell_assignment_method,cell_assignment_distance_km,open_water_flag,protected_land_flag,regulatory_floodway_flag,mean_slope_deg,urban_context,developed_context,grand_region,sampling_stratum,phase2_site_id,d0_land,phase2_feature_status,evidence_urls,dist_transmission_any_km,dist_transmission_100kv_km,dist_transmission_230kv_km,max_voltage_within_25km_kv,transmission_owner_count_25km,dist_major_road_km,dist_interstate_km,dist_surface_water_flowline_km,named_flowlines_within_25km,degree_institutions_50km,cip11_completions_50km,cip14_completions_50km,degree_institutions_100km,cip11_completions_100km,cip14_completions_100km,county_total_employment,county_total_establishments,county_total_employment_flag,information_sector_employment,information_sector_establishments,information_sector_employment_flag,professional_scientific_employment,professional_scientific_establishments,professional_scientific_employment_flag,county_geoid,county_name,county_assignment_method,d1_feasible_v1,d1_feasible,d1_status,d1_exclusion_reason,domain_rule_version,d1_model_included,final_raw_score,final_score,rank_within_batch,score_p05,score_p95,score_iqr,grid_regime,regime_distance,novelty_flag,model_version,selected_specification,phase2_sha256,scored_at_utc,review_band,external_score_notice,required_diligence_checks
1,TNCAND-011,Vanderbilt ACCRE Data Center Rooms,candidate,operational_research_computing_facility,high,36.142856,-86.79603299999999,address_or_site,high,0,0.75,0.75,Candidate evidence confidence,TN5K-1932,source_grid_join,2.7560746577,0,0,1,0.957310617,metro_50km,metro_proxy,middle,middle|metro_50km,TNCAND-011,1,complete,USGS 3DEP; USGS PAD-US; Tennessee DFIRM; USGS NHD,0.2095024276,0.2095024276,18.1045117149,500,1,0.3545939637,1.2943387493,2.9911155763,964,36,750,467,56,1609,617,526927,22122,G,16596,704,G,33740,2441,G,47037,Davidson County,point_in_county,1,1,eligible,,D1_v2_IM3_adapted_2026-09-13,1,0.508886484489,100,1,99.9988613072,100,0,R1,5.27885609258,true,TN-DC-1.0.0,pls_logistic,112d6db67d7f4f9e74fa8edde3406937e1f8eb7145e9bc04a64e7030cf1d3e03,2026-09-17T19:05:47Z,Priority 1,External score only; Candidate records are not accuracy evidence or training outcomes.,"Verify utility capacity and interconnection, fiber diversity, land control, permitting, water, schedule, and cost."
2,TNCAND-015,Verizon / XO Memphis,candidate,legacy_operational_listing,medium,35.1086604,-89.8910128,address_or_site,high,0,0.5,0.5,Candidate evidence confidence,TN5K-0076,source_grid_join,1.0580005479,1,1,1,0.3759446467,metro_50km,metro_proxy,west,west|metro_50km,TNCAND-015,1,complete,USGS 3DEP; USGS PAD-US; Tennessee DFIRM; USGS NHD,0.1172841864,0.1172841864,5.6590490505,500,3,0.1746828716,1.9052932641,0.970769106,1346,27,956,286,35,1204,481,446048,19359,G,4823,318,G,20108,1599,G,47157,Shelby County,point_in_county,1,1,eligible,,D1_v2_IM3_adapted_2026-09-13,1,0.0737665774856,99.8633568663,2,99.8405830107,99.9089045775,0.0227738556138,R1,4.50718713587,true,TN-DC-1.0.0,pls_logistic,112d6db67d7f4f9e74fa8edde3406937e1f8eb7145e9bc04a64e7030cf1d3e03,2026-09-17T19:05:47Z,Priority 1,External score only; Candidate records are not accuracy evidence or training outcomes.,"Verify utility capacity and interconnection, fiber diversity, land control, permitting, water, schedule, and cost."
3,TNCAND-008,Tennessee State Data Center North,candidate,operational_government_data_center,high,36.171264,-86.785312,address_or_site,high,0,0.75,0.75,Candidate evidence confidence,TN5K-1971,source_grid_join,2.4372484876,1,0,1,0.9799223012,metro_50km,metro_proxy,middle,middle|metro_50km,TNCAND-008,1,complete,USGS 3DEP; USGS PAD-US; Tennessee DFIRM; USGS NHD,0.1203101117,2.7079748645,20.8409308125,500,1,0.3787679277,1.0294953611,0.5987541051,929,36,750,467,56,1609,617,526927,22122,G,16596,704,G,33740,2441,G,47037,Davidson County,point_in_county,1,1,eligible,,D1_v2_IM3_adapted_2026-09-13,1,-0.367829214449,99.4989751765,3,99.4044636757,99.6128444546,0.113869278069,R1,4.23833804519,false,TN-DC-1.0.0,pls_logistic,112d6db67d7f4f9e74fa8edde3406937e1f8eb7145e9bc04a64e7030cf1d3e03,2026-09-17T19:05:47Z,Priority 1,External score only; Candidate records are not accuracy evidence or training outcomes.,"Verify utility capacity and interconnection, fiber diversity, land control, permitting, water, schedule, and cost."
4,TNCAND-006,Atmosphere Nashville 120 MW Campus,candidate,proposed_data_center_campus,medium,36.1721781,-86.78460219999999,area_or_city,low,0,0.5,0,Candidate evidence confidence,TN5K-1971,source_grid_join,2.3953916508,1,0,1,0.9799223012,metro_50km,metro_proxy,middle,middle|metro_50km,TNCAND-006,1,complete,USGS 3DEP; USGS PAD-US; Tennessee DFIRM; USGS NHD,0.1729609042,2.7661663618,20.9061103764,500,1,0.4826449483,1.1343567227,0.4995955353,926,36,750,467,56,1609,617,526927,22122,G,16596,704,G,33740,2441,G,47037,Davidson County,point_in_county,1,1,eligible,,D1_v2_IM3_adapted_2026-09-13,1,-0.526116776786,99.2256889091,4,99.1345934867,99.3657481212,0.0455477112275,R1,4.21144131632,false,TN-DC-1.0.0,pls_logistic,112d6db67d7f4f9e74fa8edde3406937e1f8eb7145e9bc04a64e7030cf1d3e03,2026-09-17T19:05:47Z,Priority 1,External score only; Candidate records are not accuracy evidence or training outcomes.,"Verify utility capacity and interconnection, fiber diversity, land control, permitting, water, schedule, and cost."
5,TNCAND-013,Airnet / Dataprise Chattanooga,candidate,legacy_operational_listing,medium,35.046874,-85.311133,address_or_site,high,0,0.5,0.5,Candidate evidence confidence,TN5K-2991,source_grid_join,2.6605943835,1,1,1,1.5503072855,metro_50km,metro_proxy,east,east|metro_50km,TNCAND-013,1,complete,USGS 3DEP; USGS PAD-US; Tennessee DFIRM; USGS NHD,2.4302902039,2.4302902039,5.7712612347,500,2,0.1401907304,1.7567064033,1.2633426039,1156,14,313,152,28,535,162,205761,9883,G,3565,174,G,10146,937,G,47065,Hamilton County,point_in_county,1,1,eligible,,D1_v2_IM3_adapted_2026-09-13,1,-0.542658054761,99.1801411979,5,98.8806649966,99.4830334776,0.341607834206,R1,2.98052035852,false,TN-DC-1.0.0,pls_logistic,112d6db67d7f4f9e74fa8edde3406937e1f8eb7145e9bc04a64e7030cf1d3e03,2026-09-17T19:05:47Z,Priority 1,External score only; Candidate records are not accuracy evidence or training outcomes.,"Verify utility capacity and interconnection, fiber diversity, land control, permitting, water, schedule, and cost."
6,TNCAND-014,Windstream Nashville — 940 3rd Ave N,candidate,legacy_operational_listing,medium,36.173667,-86.7835769,address_or_site,high,0,0.5,0.5,Candidate evidence confidence,TN5K-1971,source_grid_join,2.3500171338,1,0,1,0.9799223012,metro_50km,metro_proxy,middle,middle|metro_50km,TNCAND-014,1,complete,USGS 3DEP; USGS PAD-US; Tennessee DFIRM; USGS NHD,0.0884407352,2.8740517786,21.0181655995,500,1,0.6414597702,1.0332158511,0.3488448481,923,36,750,467,56,1609,617,526927,22122,G,16596,704,G,33740,2441,G,47037,Davidson County,point_in_county,1,1,eligible,,D1_v2_IM3_adapted_2026-09-13,1,-0.659849342568,98.9751764974,6,98.8328398998,99.1801411979,0.159416989296,R1,4.20030119059,false,TN-DC-1.0.0,pls_logistic,112d6db67d7f4f9e74fa8edde3406937e1f8eb7145e9bc04a64e7030cf1d3e03,2026-09-17T19:05:47Z,Priority 1,External score only; Candidate records are not accuracy evidence or training outcomes.,"Verify utility capacity and interconnection, fiber diversity, land control, permitting, water, schedule, and cost."
7,TNCAND-004,Tiger Jones Technology Park Enterprise Data Center Site,candidate,certified_primary_data_center_site,high,35.671471,-88.764892,address_or_site,high,0,0.75,0.75,Candidate evidence confidence,TN5K-0693,source_grid_join,1.3522583003,1,0,1,0.578041585,nonmetro,nonmetro_proxy,west,west|nonmetro,TNCAND-004,1,complete,USGS 3DEP; USGS PAD-US; Tennessee DFIRM; USGS NHD,0.2631327878,0.2631327878,4.1329011343,500,1,0.9896272852,1.0040156704,0.5424584517,1381,8,90,6,16,163,28,55344,2598,G,464,32,H,1001,139,G,47113,Madison County,point_in_county,1,1,eligible,,D1_v2_IM3_adapted_2026-09-13,1,-1.0093352129,97.9048052835,7,97.0496470052,99.1869733546,1.03621043043,R1,3.58809704848,false,TN-DC-1.0.0,pls_logistic,112d6db67d7f4f9e74fa8edde3406937e1f8eb7145e9bc04a64e7030cf1d3e03,2026-09-17T19:05:47Z,Priority 1,External score only; Candidate records are not accuracy evidence or training outcomes.,"Verify utility capacity and interconnection, fiber diversity, land control, permitting, water, schedule, and cost."
8,TNCAND-003,Corridor Park Lots 21 & 23 TVA Certified Data Center Site,candidate,certified_data_center_site,high,35.92338,-84.14133,address_or_site,high,0,0.75,0.75,Candidate evidence confidence,TN5K-3713,source_grid_join,1.2788761492,0,0,1,1.4333170387,metro_50km,metro_proxy,east,east|metro_50km,TNCAND-003,1,complete,USGS 3DEP; USGS PAD-US; Tennessee DFIRM; USGS NHD,1.646507877,3.3104552673,4.4724542016,500,2,0.3959625142,1.7495688607,0.4091658555,1187,14,404,968,28,1936,1004,242117,12519,G,4993,237,G,13096,1306,G,47093,Knox County,point_in_county,1,1,eligible,,D1_v2_IM3_adapted_2026-09-13,1,-1.11887607251,97.3126850376,8,96.671601002,97.9059439763,0.637667957185,R1,2.80071624214,false,TN-DC-1.0.0,pls_logistic,112d6db67d7f4f9e74fa8edde3406937e1f8eb7145e9bc04a64e7030cf1d3e03,2026-09-17T19:05:47Z,Priority 1,External score only; Candidate records are not accuracy evidence or training outcomes.,"Verify utility capacity and interconnection, fiber diversity, land control, permitting, water, schedule, and cost."
9,TNCAND-005,GRIID Jackson 60 MW Bitcoin Mining Project,candidate,announced_crypto_mining_site,medium,35.6367983607,-88.7746947034,address_or_site,high,0,0.5,0.5,Candidate evidence confidence,TN5K-0692,source_grid_join,0.5203746267,1,0,1,0.5636443016,nonmetro,nonmetro_proxy,west,west|nonmetro,TNCAND-005,1,complete,USGS 3DEP; USGS PAD-US; Tennessee DFIRM; USGS NHD,0.5508257744,0.5508257744,7.4283623442,500,1,0.5966941027,4.7024020546,0.5987445306,1396,8,90,6,17,163,28,55344,2598,G,464,32,H,1001,139,G,47113,Madison County,point_in_county,1,1,eligible,,D1_v2_IM3_adapted_2026-09-13,1,-1.24710079994,96.6750170804,9,95.3336369847,98.4650421316,1.28672284218,R1,3.45716293077,false,TN-DC-1.0.0,pls_logistic,112d6db67d7f4f9e74fa8edde3406937e1f8eb7145e9bc04a64e7030cf1d3e03,2026-09-17T19:05:47Z,Priority 1,External score only; Candidate records are not accuracy evidence or training outcomes.,"Verify utility capacity and interconnection, fiber diversity, land control, permitting, water, schedule, and cost."
10,TNCAND-016,Lumen Memphis 2 / former tw telecom,candidate,legacy_operational_listing,medium,35.0344101,-89.883273,address_or_site,high,0,0.5,0.5,Candidate evidence confidence,TN5K-0074,source_grid_join,0.8465234729,0,0,1,0.3746739998,metro_50km,metro_proxy,west,west|metro_50km,TNCAND-016,1,complete,USGS 3DEP; USGS PAD-US; Tennessee DFIRM; USGS NHD,0.0841352553,2.6432224709,2.6432224709,500,2,1.5487640722,5.3344900691,0.2725183754,1249,29,1106,296,35,1204,481,446048,19359,G,4823,318,G,20108,1599,G,47157,Shelby County,point_in_county,1,1,eligible,,D1_v2_IM3_adapted_2026-09-13,1,-1.79161400901,91.0043270326,10,89.9294010476,92.2033705306,0.973582327488,R1,3.44445271184,false,TN-DC-1.0.0,pls_logistic,112d6db67d7f4f9e74fa8edde3406937e1f8eb7145e9bc04a64e7030cf1d3e03,2026-09-17T19:05:47Z,Priority 1,External score only; Candidate records are not accuracy evidence or training outcomes.,"Verify utility capacity and interconnection, fiber diversity, land control, permitting, water, schedule, and cost."
